requirement,code,isUrgent,gmtCreate,secondCategory,workExperience,workLocation,uneffectualDate,id,recruitNumber,isOpen,effectiveDate,departmentName,isNew,workNature,applyed,departmentId,type,status,favorited,description,degree,gmtModified,expired,name,firstCategory
1) 5 years of experience in data analytics roles， with exposure to the marketing industry being an asset.<br/>2) Strong analytical skills with the ability to interpret data and generate insight and action<br/>3) Experience and understanding of the marketing planning lifecycle and key business units such as product， pricing and marketing communications.<br/>4)  Highly creative with the ability to think outside the box when developing concepts.<br/>5)  Solid problem solving skills and the ability to make sound decisions and recommendations.<br/>6) Believes in the value of providing premium and customized services to key strategic clients.<br/>7)  Excellent interpersonal skills (verbal and written) with the ability to get things done by influence. <br/>8) Fluent in both English and Mandarin Chinese. Fluency in other Asian and European languages a plus.<br/>9) Masters degree in Economics， Business Administration， Marketing， Computer Sciences， or Mathematics.<br/>10) Proficiency with SQL and advanced functions in Microsoft Excel and Powerpoint are a must. <br/>11) Experience with statistical analyses tools such as SPSS， SAS， or R is an asset.,GP014524,N,1411440600000,其它,五年以上,杭州市,1429113600000,16388,1,N,1411401600000,阿里妈妈事业部,Y,全职,False,7917,normal,recruit,False,1) Assess marketing campaigns and come up with logical and relevant data measurements.<br/>2) Work closely with data analysts create data query definitions and logic that enable insight analyses. <br/>3) Ability to retrieve data and identify data errors/gaps in the data sources.<br/>4) Derive meaningful and thought-provoking insight from data measurements to inspire further analyses as well as to allow clients to have a deeper understanding to their marketing campaigns.<br/>5) Develop solid understanding and derive insightful analyses from all aspects of the business unit， such as operations， business development， product management， data mining， marketing， finance， and legal. <br/>6) Attend client meetings and present complex insight analyses in a simple and concise manner so that members from different functional groups can comprehend.,硕士,1426932000000,False,Marketing Insight Analyst,运营类
1、关注消费者体验，注重细节、精益求精，能够不断深挖不断改进不断沉淀； <br/> 2、需要有传统卖场品类管理或互联网网站运营、网站编辑，产品运营等经验，有电商网站运营及行业运营经验者优先； <br/> 3、有良好的跨团队沟通能力，善于资源整合有效的推进业务的开展； <br/> 4、对数据较为敏感，有一定的逻辑及分析判断能力，对所做的事情能够通过数据方式验证有效的工作方法； <br/> 5、对互联网产品工具有一定的概念，能够快速学习产品工具，并具有产品工具运营的思路和优化能力； <br/> 6、有较好的抗压能力及上进心，并具备良好的学习能力、团队精神，心态积极进取；,GP014538,N,1411465200000,网站运营,三年以上,杭州市,1442937600000,16398,1,N,1411401600000,天猫事业部,Y,全职,False,5419,normal,recruit,False,1. 对网站类目后台底层结构和产品库信息负责，基于对行业趋势的判断及专业化挖掘，能够不断优化底层架构； <br/> 2. 对网站前台消费者导购效率提升负责，对行业有一定了解，根据消费者购物习惯及行业专业度，制定符合母婴行业特色的行业前台运营规划，完成但不限于包括前台类目展示结构的搭建及优化，智能导航的运营及优化，搜索效率分析与优化等，能够充分学习并使用目前平台已有的基础运营产品，能够清晰沉淀出运营思路并验证操作与前台浏览效率之间的相关性，根据使用和沉淀经验，提出并推动更多产品优化及解决方案； <br/> 3. 结合与竞争平台的对比，持续优化流量分配，包括品类导航路径的合理性，在流量调控模型中包括但不限于主流价格主流商品展示，spu流量分配机制等规则的建立，优质服务体验货品及商家的流量倾斜，形成数据沉淀和规则模型； <br/> 4. 跨团队资源整合：基于消费者导购优化的需要，整合包括但不限于“招商”“品控”“商家运营”“规则”“营销”“搜索”等团队资源，分析行业品牌阵容、形成行业品牌梯队、落地精细化前端导购方案； <br/> 5. 数据分析：根据行业遇到的问题及现状，运用数据的手段进行诊断，预测，执行校验等，需要能够进行深度的数据分析，并将分析结果指导品牌及行业运营思路； <br/> 6. 研究行业消费者需求，包括但不限于跟用研团队，数据团队进行合作，形成行业消费者用研方案，能够将方案落实成改进计划并对数据结果产生影响；,本科,1426818000000,False,资深搜索运营专员—天猫—杭州,运营类
1、大学本科以上学历；<br/>2、具有5年以上国际物流管理工作经验；<br/>3、具有国际货代、国际物流公司工作经验者具熟悉海陆空的运输；<br/>4、有良好的职业操守和强烈的责任心、执行力强、工作细致认真，领悟性高，思维敏捷、勤奋敬业、道德品质优良。,GP014543,Y,1411468800000,物流运营,八年以上,杭州市,1431446400000,16403,1,N,1411401600000,国际事业部-外贸综合服务事业部-国际物贸部,N,全职,False,9141,normal,recruit,False,1、监督、指导物流管理工作，研究解决物流工作中遇到的问题，制定物流工作重点；<br/>2、制定物流管理和工作计划，对物流工作规范和考核标准不断进行完善；<br/>3、对公司的物流业务进行成本管理，降低物流费用。,本科,1426476300000,False,物流总监,运营类
1. 工科、计算机或其他相关专业本科以上学历； <br/>2. 至少五年以上软件开发、自动化测试或白盒测试工作经验； <br/>3. 精通C++/Java等至少一种编程语言； <br/>4. 熟悉软件开发和测试流程； <br/>5. 具备广泛的技术视野和很强的技术前瞻性，了解测试技术的发展，有自己的技术成果； <br/>6. 很强的学习能力、分析能力和解决问题的能力； <br/>7. 熟悉持续集成理论并有过相关实施经验，能够熟练使用持续集成平台及工具，具备二次开发能力,GP014544,N,1411471500000,测试开发类,三年以上,杭州市,1442937600000,16404,10,N,1411401600000,技术质量部,N,全职,False,2029,normal,recruit,False,1. 按照产品架构和业务要求，制定和推进测试策略，测试计划和测试方法； <br/>2. 参与产品需求和架构设计评审，保证产品的可测试性； <br/>3. 参与测试效果评估和软件质量核查； <br/>4. 通过测试相关流程、策略、方法和工具等创新，努力提升测试的质量和效率； <br/>5. 解决测试过程中的复杂技术问题；<br/>6. 负责测试团队的测试方法和技术培训，引领团队测试技术的发展；<br/>7. 作为持续集成教练负责持续集成实践在业务产品线的推动工作，配合开发、测试、运维、配管一起优化和改进代码结构、发布过程、配   置管理，顺利实施持续集成,本科,1426485600000,False,测试架构师—微软,技术类
1. 数学、统计、计算机等相关专业硕士及以上学历；<br/>2. 三年以上海量数据下机器学和算法实施相关工作经验；<br/>3. 对聚类、分类、矩阵计算原理其中之一理解透彻；<br/>4. 熟练掌握JAVA编程语言，熟悉Linux/Unix平台上的开发环境；<br/>5. 熟悉分布式系统（Hadoop）和算法设计，以及增量算法实施经验；<br/>6. 有金融行业、会员研究、风险防控等领域经验的优先考虑。,GP014547,N,1411525500000,开发类,三年以上,杭州市,1451491200000,16406,1,N,1411488000000,蚂蚁金服-COO-大安全及平台数据部-安全智能部-案件分析,Y,全职,False,10316,normal,recruit,False,在这里我们面对的不再是噪音高、非结构化信息比重大、商业价值偏低的数据；面对的将会是是真实的交易数据，亿级别消费者的商业行为，数十万级外部商户数据供你研究。我们不单单做基于分布式环境的离线算法实施，同时我们也会面对海量数据下实时增量的算法实施的挑战，如果你对这些有兴趣、如果你致力于用数据改变中国金融环境、如果你想建立整个中国消费者的信用体系、如果你想让支付的体验更加便捷与安全，请加入我们。<br/>岗位描述：<br/>1. 应用机器学习、文本挖掘等技术，对海量数据进行挖掘，发现其潜在关系，指导业务发展；<br/>2. 构建通用的分布式环境下算法平台，包括矩阵计算、变量构造、算法封装，快速支持算法应用；<br/>3. 通过海量商业数据实施用户画像、身份识别、风险防控、智能客服、信用体系、实时竞价广告、推荐引擎等项目；<br/>4. 和业务部门密切配合寻求数据层面的商业价值并组织建设相应的数据标签；<br/>5. 协助并指导新人完成相关数据挖掘项目。,本科,1426737600000,False,数据挖掘工程师[杭州],技术类
KEY SKILLS:<br/><br/>3 years+ content management experience. E-commerce or agency experience preferred.<br/><br/>Expert with Microsoft Office products.<br/><br/>Ability to harmonize copy with design – must be able to work effectively with Graphic and Interaction Designers to present highly readable copy in project designs.<br/><br/>Take ownership of projects and guide your output through to successful completion.<br/><br/>DESIRED SKILLS & EXPERIENCE:<br/><br/>	Related degree preferred but not essential.<br/>	Must have a portfolio of work.<br/>	Good understanding of information architecture and best practices of web design.<br/>	Good creative thinking.<br/>	Ability to communicate and work across different cultures.<br/>	Understand the project’s commercial requirements.<br/>	Good analytical and problem-solving skills. <br/>	Ability to adjust content quickly in response to project changes.<br/>	Good insights in visual design.<br/>	Good project coordination skills， highly team spirited， positive can-do attitude， can work to tight deadlines.<br/>	Spoken/written English preferred， spoken Mandarin a bonus.<br/>	A working understanding of HTML/CSS a bonus.<br/><br/>The Alibaba China headquarters is located in the beautiful city of Hangzhou， China. <br/><br/>This position is based in China. You must be willing to relocate.,GP014550,N,1411534800000,其它,三年以上,杭州市,1443024000000,16407,0,N,1411534567000,共享业务事业部-国际UED,Y,全职,False,10329,normal,recruit,False,Alibaba is hiring an international team of Content Managers for our leading B2C global e-commerce consumer marketplace.<br/><br/>This is a unique opportunity to be a part of the global expansion of our fast-growing platforms. We are recruiting talented Content Managers from the following regions only:<br/><br/>United Kingdom<br/>United States<br/>Australia<br/>Canada<br/>Russia<br/><br/>BACKGROUND<br/><br/>Alibaba<br/>Alibaba Group is a family of Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world. Since its inception， it has developed leading businesses in consumer e-commerce， online payment， business-to-business marketplaces and cloud computing and has expanded into new areas such as mobile apps， mobile operating system and Internet TV. The company is focused on fostering the development of an open， collaborative and prosperous e-commerce ecosystem that benefits consumers， merchants and the economy as a whole.<br/>Alibaba Group was founded in 1999 by 18 people led by Jack Ma， a former English teacher from Hangzhou， China who has aspired to help make the Internet accessible， trustworthy and beneficial for everyone. The privately held Alibaba Group currently employs more than 20，000 people around the world and has more than 70 offices in Greater China， Singapore， India， the United Kingdom and the United States.<br/><br/>KEY RESPONSIBILITIES (Alibaba):<br/><br/>	Work closely and build relationships with key stakeholders， product managers， graphic designers， interaction designers， marketing specialists and front-end developers throughout the product development process to create and develop compelling global content.<br/>	Responsible for the general visual look of the content on Alibaba.com.<br/>	Establish high-level concept design for website from content perspective<br/>	Create， edit， and proofread web content， such as site navigation， inline instructions， product description， help content， etc.<br/>	Support marketing efforts by writing content for banner ads， and landing pages to support product and service activities.<br/>	Maintain copy guidelines to ensure the website has a consistent language， tone， and voice throughout all assets as well as wider external marketing communications.<br/>	Adhere to and update the existing Alibaba.com content style in the design pattern library (DPL) to ensure the site has a consistent tone across all estates.,本科,1426814400000,False,Sr. Content Manager,运营类
1、三年以上产品经理或产品相关岗位的工作经验，熟悉产品管理的流程，有移动端产品经验者优先考虑；<br/>2、出色的规划能力和逻辑分析能力，有完整的产品发展思路和产品架构能力；<br/>3、良好的沟通协调能力，能有效整合设计、开发、测试的力量来推动项目的实施；<br/>4、对数据敏感，了解Android/IOS的规范，对移动端产品体验有独特的见解；<br/>5、重度移动端产品使用者优先考虑；<br/>6、有安全产品经验者优先。,GP009061,N,1390208101000,无线PD,三年以上,杭州市,1432656000000,8219,3,N,1401206400000,安全部-安全技术与产品-移动安全-产品,N,全职,False,10414,normal,recruit,False,1、负责阿里巴巴首款安全类APP-阿里钱盾的规划、设计和迭代演进的工作；<br/>2、整理和挖掘用户需求，分析产品数据，对产品现有的功能优化和改进；<br/>3、对产品功能进行创新，提升产品的用户粘性；<br/>4、与公司内各团队协调合作，挖掘各团队需求，来促进产品的建设和发展。,本科,1418728211000,False,（集团安全）资深无线产品经理,产品类
java研发要求p6及以上人员<br/>1. 计算机软件或相关专业本科及以上学历，3年以上工作经验；<br/>2. 精通Java语言，熟悉JEE体系结构；<br/>3. 熟练单元测试技术和TDD；<br/>4. 熟悉Linux、HTML、UML；<br/>5. 熟悉数据库Oracle和Mysql；<br/>6. 熟悉WEB相关标准（HTML、CSS、JS、HTTP），有至少1年的web应用开发经验；<br/>7. 对Spring、SpringMVC、iBatis等开源框架有应用经验者优先；<br/>8. 有大数据量. 高并发系统和大型网站构建经验者优先。<br/><br/>测试要求p6及以上人员<br/>1. 良好的计算机专业基础(数据结构， 算法， 编程语言， 数据库等)；<br/>2. 熟悉软件工程，熟悉软件测试一般方法和流程；<br/>3. 性格开朗乐观，责任心强，积极主动，善于沟通，具有团队精神；<br/>4. 具有较强的文档编写能力、较强的学习能力和沟通能力；<br/>5. 逻辑能力强、思维活跃，接受新事物能力强；<br/>6. 具有WEB应用测试经验，熟悉常用的测试工具和Bug管理跟踪软件，版本控制软件；<br/>7. 熟悉Linux环境和操作和熟悉数据库Oracle或者Mysql操作；<br/>8. 有开发经验优先，有自动化测试经验优先，有白盒测试经验优先。,GP011840,Y,1411609500000,其它,三年以上,杭州市,1427731200000,16418,5,N,1402243200000,蚂蚁金服-COO-平台产品技术部,N,全职,False,1328,normal,recruit,False,余额宝招人了！！！<br/><br/>内转请走这里：https://hr.alibaba-inc.com/tuijian/zwlb?queryData.id=11840<br/><br/>小微金服-理财保险招聘技术人才，研发测试均可，地点杭州黄龙、西溪、上海、成都任选。<br/>欢迎推荐和自荐，要求p6及以上，<br/>任何疑问请联系：<br/>hr 曹小飞（旺旺：琦亮）<br/>黄龙园区：谢黎文、断惑<br/>西溪园区：然翁<br/>上海：蒙骜<br/>成都：真吾,本科,1423531800000,False,余额宝技术招聘,技术类
1.	JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；<br/>2.	3年及以上使用JAVA开发的经验，对于你用过的开源框架，能了解到它的原理和机制；对Spring，ibatis，struts等开源框架熟悉；<br/>3.	熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；<br/>4.	掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验；<br/>5.	掌握Linux 操作系统和大型数据库（Oracle、MySql）；对sql优化有丰富的经验；<br/>6.	学习能力强，适应能力好；具备耐心/细心的品质；<br/>7.	我们希望你对互联网或J2EE应用开发的最新潮流有关注，喜欢去看及尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队；了解客户端开发者加分。,GP014564,N,1411613400000,其它,二年以上,杭州市,1443110400000,16419,4,N,1411574400000,国际事业部-国际技术部,N,全职,False,685,normal,recruit,False,系统核心代码编写、指导和培训工程师；<br/>制定和review各种技术规范；<br/>负责相关系统的设计、核心模块开发工作；,本科,1423734000000,False,国际技术部-服务器端高级java开发工程师,技术类
1、本科及以上学历，计算机或相关专业； <br/>2、两年及以上手机应用实际开发经验，两年以上IOS开发经验，五年以上C/C+/Java开发经验； <br/>3、精通Objective-C、Mac OS X、Xcode；<br/>3、精通IOS SDK中的UI、网络、数据库、XML/JSON解析等开发技巧；<br/>4、有多个完整的IOS项目经验，至少参加过一个完整的商业级手机应用或游戏开发项目； <br/>5、熟悉各种主流手机特性，深刻理解手机客户端软件及服务端开发特点； <br/>6、精通常用软件架构模式，熟悉各种算法与数据结构，多线程，网络编程（Socket、http/web service）等； <br/>7、个性乐观开朗，逻辑思维强，善于团队合作。,GP014565,N,1411614000000,其它,二年以上,杭州市,1443110400000,16420,4,N,1411574400000,国际事业部-国际技术部,N,全职,False,685,normal,recruit,False,1、根据业务需求，基于IOS平台进行应用程序开发； <br/>2、参与移动平台软件框架的研究，设计和实现、关键技术验证和选型等工作；<br/>3、带领并指导开发工程师、程序员进行代码开发/单元测试等工作；<br/>4、参与移动规范制订、技术文档编写。,本科,1423734000000,False,国际技术部-IOS高级开发工程师（杭州）,技术类
