类型1,类型2,学历
运营类,其它,硕士
运营类,网站运营,本科
运营类,物流运营,本科
技术类,测试开发类,本科
技术类,开发类,本科
运营类,其它,本科
产品类,无线PD,本科
技术类,其它,本科
技术类,其它,本科
技术类,其它,本科
技术类,其它,本科
产品类,网站运营PD,本科
技术类,开发类,本科
运营类,其它,本科
运营类,其它,本科
运营类,网站运营,本科
数据类,数据开发,本科
金融类,风控类,本科
技术类,架构类,本科
客服类,服务支持,本科
技术类,开发类,本科
数据类,数据分析,硕士
技术类,需求分析,本科
技术类,其它,本科
技术类,其它,本科
市场拓展,其它,本科
市场拓展,其它,本科
技术类,开发类,本科
技术类,开发类,本科
综合类,人力资源类,本科
客服类,其它,本科
客服类,其它,本科
客服类,其它,本科
设计类,视觉,本科
技术类,开发类,本科
技术类,搜索与算法,硕士
客服类,产品体验,本科
技术类,搜索与算法,本科
客服类,产品体验,本科
客服类,其它,本科
客服类,电话服务,本科
客服类,其它,大专
技术类,开发类,本科
设计类,交互,本科
技术类,开发类,本科
客服类,其它,本科
客服类,其它,本科
客服类,其它,本科
技术类,架构类,本科
客服类,其它,本科
客服类,其它,本科
客服类,其它,本科
数据类,数据分析,本科
客服类,其它,本科
运营类,运营支持,本科
客服类,商家服务,本科
客服类,其它,本科
客服类,其它,本科
综合类,人力资源类,本科
技术类,开发类,本科
产品类,网站运营PD,硕士
客服类,在线服务,本科
数据类,数据分析,本科
产品类,技术PD,本科
产品类,无线PD,本科
技术类,其它,本科
技术类,开发类,本科
运营类,商家运营,本科
数据类,数据分析,本科
技术类,架构类,本科
技术类,开发类,本科
市场拓展,营销类,本科
技术类,开发类,本科
技术类,架构类,本科
技术类,开发类,本科
设计类,交互,本科
设计类,视觉,本科
技术类,开发类,本科
产品类,网站运营PD,本科
金融类,风控类,本科
产品类,其余业务PD,本科
运营类,商家运营,本科
运营类,商家运营,本科
运营类,商家运营,本科
运营类,商家运营,本科
运营类,商家运营,本科
技术类,架构类,本科
产品类,技术PD,本科
技术类,前端开发类,本科
销售类,销售策划,本科
市场拓展,营销类,本科
市场拓展,营销类,本科
技术类,开发类,本科
技术类,技术管理,本科
技术类,架构类,本科
销售类,销售类,大专
运营类,网站运营,本科
综合类,内控类,本科
综合类,置业类,本科
技术类,开发类,本科
技术类,前端开发类,本科
技术类,测试开发类,本科
销售类,销售类,大专
技术类,前端开发类,本科
技术类,开发类,本科
技术类,前端开发类,本科
产品类,技术PD,本科
技术类,其它,本科
综合类,财务类,本科
技术类,搜索与算法,本科
设计类,视觉,本科
技术类,前端开发类,本科
技术类,前端开发类,本科
技术类,测试类,本科
技术类,前端开发类,本科
运营类,其它,本科
技术类,开发类,本科
运营类,其它,本科
产品类,其余业务PD,硕士
技术类,其它,本科
运营类,运营支持,大专
综合类,其它,本科
客服类,服务管理,本科
综合类,采购类,本科
运营类,网站运营,本科
运营类,网站运营,本科
技术类,前端开发类,本科
技术类,前端开发类,本科
技术类,技术支持,本科
技术类,开发类,本科
技术类,开发类,大专
技术类,前端开发类,大专
技术类,开发类,本科
技术类,开发类,本科
技术类,开发类,本科
技术类,开发类,本科
市场拓展,市场类,本科
运营类,其它,本科
技术类,开发类,本科
技术类,架构类,本科
市场拓展,拓展类,本科
运营类,其它,本科
产品类,网站运营PD,本科
产品类,技术PD,本科
数据类,数据分析,本科
技术类,其它,本科
产品类,其余业务PD,本科
技术类,开发类,本科
技术类,项目管理,本科
金融类,风控类,本科
运营类,商家运营,本科
市场拓展,营销类,本科
市场拓展,其它,本科
销售类,销售类,本科
设计类,交互,本科
产品类,技术PD,本科
技术类,开发类,本科
技术类,开发类,本科
产品类,金融PD,本科
运营类,网站运营,本科
技术类,开发类,本科
销售类,销售类,本科
技术类,开发类,本科
销售类,销售类,本科
技术类,架构类,本科
金融类,金融支持,本科
产品类,无线PD,本科
客服类,电话服务,本科
产品类,无线PD,本科
销售类,销售类,大专
运营类,商家运营,大专
综合类,人力资源类,本科
技术类,其它,本科
客服类,电话服务,本科
客服类,电话服务,本科
产品类,其余业务PD,本科
客服类,电话服务,本科
运营类,其它,本科
销售类,销售类,本科
销售类,销售类,本科
销售类,销售类,本科
销售类,销售类,本科
技术类,搜索与算法,本科
技术类,其它,本科
设计类,其它,本科
销售类,销售类,本科
技术类,开发类,本科
技术类,架构类,本科
技术类,开发类,本科
运营类,商家运营,本科
综合类,人力资源类,本科
技术类,测试开发类,本科
技术类,搜索与算法,硕士
技术类,开发类,本科
技术类,前端开发类,其它
技术类,其它,硕士
技术类,搜索与算法,本科
技术类,搜索与算法,硕士
技术类,搜索与算法,本科
技术类,开发类,本科
技术类,开发类,本科
综合类,财务类,本科
技术类,开发类,本科
综合类,人力资源类,本科
技术类,开发类,本科
技术类,需求分析,本科
综合类,其它,本科
技术类,开发类,本科
客服类,产品体验,本科
技术类,开发类,本科
产品类,无线PD,本科
技术类,开发类,本科
金融类,风控类,本科
运营类,商家运营,本科
运营类,商家运营,本科
销售类,销售类,本科
技术类,开发类,本科
技术类,搜索与算法,本科
技术类,开发类,本科
技术类,开发类,本科
技术类,技术支持,本科
产品类,技术PD,硕士
运营类,商家运营,本科
技术类,开发类,本科
数据类,数据分析,本科
技术类,其它,本科
数据类,数据开发,本科
技术类,其它,本科
技术类,前端开发类,硕士
技术类,前端开发类,硕士
技术类,开发类,本科
技术类,开发类,本科
技术类,开发类,本科
技术类,测试类,本科
技术类,开发类,本科
技术类,前端开发类,本科
技术类,架构类,本科
运营类,网站运营,本科
技术类,测试类,本科
技术类,开发类,本科
数据类,数据分析,本科
技术类,开发类,本科
运营类,物流运营,本科
技术类,开发类,本科
运营类,其它,本科
技术类,前端开发类,本科
运营类,其它,本科
技术类,开发类,本科
技术类,其它,本科
设计类,交互,本科
技术类,其它,大专
技术类,其它,本科
运营类,其它,本科
技术类,其它,本科
数据类,其它,博士
产品类,技术PD,本科
客服类,商家服务,本科
技术类,架构类,本科
技术类,其它,本科
技术类,开发类,本科
