事业部,数量
天猫事业部-商家运营&网站规则部,2
聚划算事业部-内控部,4
天猫事业部-数码电器-手机通讯,2
天猫事业部-产品技术部-运营&商家平台,2
技术保障-业务PE-电商&金融-综合业务支撑-信息平台-工具&测试,2
国际事业部-跨境贸易事业部-卖家产品,2
蚂蚁金服-国内事业群-无线产品技术部-技术部,16
淘宝基础产品部-评价产品,2
聚划算事业部-商家成长,2
国际事业部-中国供应商-北方大区-太行,2
安全部-业务安全-情报与认证-情报中心,2
国际事业部-国际技术部,12
技术保障-系统运营-IDC平台-IDC技术,2
安全部-安全技术与产品-移动安全-移动用户安全B组,2
安全部-安全技术与产品-安全运营-数据安全产品,8
CTO-iDST-Data Intelligence-Analytics&NLS-Deep Learning,2
安全部-业务安全-情报与认证-客户关系-百年信安,2
集团客户服务,36
安全部-基础安全部-安全开发-安全管理平台研发,2
数字娱乐事业群-在线视频事业部,4
天猫事业部-时尚快消-食品,6
技术保障-性能架构容量-性能,2
菜鸟-技术部-技术质量保障部,2
数字娱乐事业群-原创出品事业部,2
天猫事业部-商家运营&网站规则部-商家平台部,4
天猫事业部-产品技术部-交易链路&行业开发-前端,4
国际事业部,2
阿里云事业部-飞天-平台安全,2
人力资源部-集团OD平台-平台项目组,4
国际事业部-跨境贸易事业部-采购直达,2
国际事业部-中国供应商-广东大区-大广州-番顺,4
国际事业部-中国供应商-北方大区-销售运营部,2
安全部-业务安全-专案-安全行动,2
技术保障-系统运营-IDC平台,2
天猫事业部-服装服饰-男女鞋,2
国际事业部-中国供应商-闽汕大区-泉晋,2
国际事业部-中国供应商-华东大区-江苏-无锡,8
天猫事业部-服装服饰,2
蚂蚁金服-国际事业部-国际产品技术部-金融产品部,2
蚂蚁金服-COO-芝麻信用-技术,8
聚划算事业部-俪人购,32
聚划算事业部-运营部-鞋箱运动户外,2
国际事业部-中国供应商-浙江大区-绍兴,2
综合支持部-行政部-行政中心-区域行政-深圳,2
淘宝技术部-社区&特色市场,4
国际B2C-AliExpress-无线发展部,6
蚂蚁金服-COO,2
企业发展部,2
信息平台事业部-EHR,2
数字娱乐事业群-家庭互联网事业部-技术研发部,4
集团客户服务-中小企业贸易服务事业部-中小企业出口服务事业部-买家声音,2
聚划算事业部-技术部,12
阿里云事业群-部委业务事业部,4
五道口,34
技术保障-系统运营-项目管理,2
淘宝营销中心事业部-淘金币,2
1688事业部-垂直业务部-采购业务-工业品市场运营,2
数字娱乐事业群,4
共享业务事业部-百川&TAE,4
安全部-业务安全-情报与认证-认证运营,4
淘宝技术部-数字产品研发,4
财务部-运营财务-TV&阅读,2
淘宝用户体验部-i工作室,2
阿里云事业部-云计算业务部-网站运营,4
安全部-安全技术与产品-安全运营-C及CPP安全,2
综合支持部-置业部-运营中心-运营管理部,2
天猫事业部-产品技术部-会员&服务,4
蚂蚁金服-COO-金融事业部,6
国际事业部-中国供应商-广东大区-客户运营部,2
财务部-集团内控,4
蚂蚁金服-COO-微贷事业部-信贷管理车间,2
安全部,2
集团公共事务部-杭州,2
安全部-数据业务-安全智能数据,4
数字娱乐事业群-家庭互联网事业部-产品规划-设计,8
OS事业群-YunOS事业部-核心系统-系统及框架-BSP,2
阿里云事业部-产品技术部-云产品技术部八部,2
安全部-安全技术与产品-安全运营-应用安全,6
数字娱乐事业群-家庭互联网事业部-供应链管理,2
淘宝行业市场事业部-服饰,10
UC移动事业群-神马事业部,42
商家业务事业部-技术部,2
安全部-基础安全部-行业安全及合规,10
国际事业部-跨境贸易事业部-采购直达-中大买家及服务运营,2
OS事业群-YunOS事业部-安全,2
菜鸟-天网-配送运营部,18
蚂蚁金服-国内事业群-无线产品技术部,6
数据平台事业部-商家数据业务部-数据挖掘&安全&架构,2
淘宝用户体验部,2
蚂蚁金服-国际事业部-市场运营部-O2O平台运营,2
安全部-业务安全-集团交易安全-线上交易治理,2
安全部-业务安全-信息中心,6
菜鸟-地网,2
数字娱乐事业群-家庭互联网事业部-业务拓展-天猫魔盒-店铺运营,2
来往事业部,12
国际事业部-中国供应商-中西部大区-整合营销部,2
安全部-基础安全部,6
1688事业部-用户体验部,4
数据平台事业部-数据引擎-用户数据,2
安全部-业务安全-集团综合安全-知识产权保护-品牌保护-品牌关系,2
无线事业部-M工作室,8
国际事业部-中国供应商-华东大区-江苏-南京,2
共享业务事业部-基础平台&O2O-商品平台,2
聚划算事业部-UED,2
国际事业部-跨境贸易事业部-活动运营,6
聚划算事业部-运营部-家装汽车组,2
阿里云事业部-飞天二部-网络组,2
阿里云事业群-金融业务事业部,4
国际B2C-AliExpress-流量搜索及产品发展,6
菜鸟-天网-仓储运营部,2
商家业务事业部-服务市场,2
蚂蚁金服-COO-大安全及平台数据部-安全产品技术部,6
阿里妈妈事业部-CNZZ-技术,2
淘点点事业部-西部大区,4
综合支持部-行政部-行政中心-西溪园区-运营,4
蚂蚁金服-COO-大安全及平台数据部-安全智能部-案件分析,2
集团客户服务-商家服务事业部-基础业务服务中心,2
数字娱乐事业群-数字音乐事业部-虾米,16
综合支持部-行政部-行政中心-西溪园区-安全,2
蚂蚁金服-国内事业群-商户事业部-商户服务部,2
国际事业部-中国供应商-广东大区-大深圳,8
菜鸟-天网-服务运营部-共享客服中心,6
国际事业部-中国供应商-广东大区-大广州,4
天猫事业部-家居生活-礼品&家居日用,4
法务部-中国法务-公司事务,6
淘点点事业部-南方大区,10
淘宝技术部-数字&生活服务研发-教育,4
淘宝行业市场事业部-全球购,4
安全部-安全技术与产品-移动安全-移动基础安全,12
淘宝市场部-流量管理和BD,2
数据平台事业部-计算平台-ODPS,4
蚂蚁金服-COO-理财事业部-理财产品部,4
淘宝营销产品事业部-拍卖-营销,2
天猫事业部-产品技术部,16
淘点点事业部-东部大区-苏州,2
菜鸟-地网-开发建设-工程建设,2
淘宝行业市场事业部-产品部-行业产品,2
天猫事业部-时尚快消,4
综合支持部-置业部-工程中心,8
综合支持部-置业部-成本中心-成本合约部,2
蚂蚁金服-COO-芝麻信用,6
聚划算事业部-市场部,2
国际事业部-中国供应商-商业发展部-业务发展部-系统平台部,4
技术保障-数据库技术,8
阿里云事业部-飞天二部-结构化存储,4
OS事业群-YunOS事业部-核心系统-系统及框架,4
OS事业群-OS TV事业部-智能电视-PM,2
高德-移动互联网事业部-高德地图研发中心,6
数据平台事业部-商家数据业务部,6
国际事业部-中国供应商-浙江大区-嘉湖,2
安全部-安全技术与产品-移动安全-产品,6
菜鸟-地网-园区规划与战略投资,2
信息平台事业部-IT-运营,2
蚂蚁金服-COO-芝麻信用-业务,2
数据平台事业部-商家数据业务部-数据工程-网站工程,6
国际事业部-中国供应商-中西部大区-西安,4
数字娱乐事业群-家庭互联网事业部,14
阿里云事业群-国际业务部-海外产品技术,4
天猫事业部-家装汽车部-家装部-家装服务,2
集团客户服务-服务产品及数据技术中心,28
蚂蚁金服-COO-芝麻信用-数据,4
阿里云事业群-飞天二部-数据库组,2
聚划算事业部-运营部,4
安全部-基础安全部-安全推广,2
1688事业部-互动业务部,2
阿里云事业部-飞天二部-图像组,2
共享业务事业部-数据应用-杭州算法,2
安全部-安全技术与产品-安全运营-基础架构安全,6
人力资源部-集团Staffing-平台,6
阿里云事业部-飞天二部-数据库组,2
安全部-业务安全-集团综合安全-知识产权保护-主动防控,2
蚂蚁金服-COO-客户中心-体验发展-服务策划-体验策划,2
共享业务事业部-百川&会员平台,4
集团客户服务-消费者服务事业部,8
蚂蚁金服-国内事业群-产品运营部-产品部,2
国际事业部-中国供应商-北方大区-农村淘宝部门,6
淘宝技术部-数字产品研发-游戏,2
淘宝行业市场事业部-数码家电,6
